channel 0,channel 1,channel 2,channel 3,channel 5,channel 6
86,104,90,93,88,79
76,104,90,93,88,79
77,104,90,93,88,79
79,104,90,93,88,79
74,104,91,93,88,79
77,104,91,93,88,79
75,104,91,93,88,79
75,104,91,93,88,79
77,104,91,93,88,79
76,104,91,94,88,79
77,104,91,94,88,79
75,104,91,94,88,79
74,104,91,94,88,79
77,104,91,94,88,79
76,103,91,94,88,79
76,104,91,94,88,79
76,104,91,94,88,79
75,103,91,94,88,79
74,103,91,94,88,79
77,103,91,94,88,79
77,103,91,94,88,79
77,103,91,94,88,79
78,103,91,94,88,79
75,103,91,94,88,79
73,103,91,94,88,79
77,103,90,94,88,79
62,103,91,94,88,79
68,103,91,94,88,79
75,103,91,94,88,79
75,104,91,94,88,79
76,103,91,94,88,79
76,103,91,94,88,79
87,103,91,94,88,79
54,103,91,94,88,79
76,103,91,94,88,79
80,103,91,94,88,79
75,103,91,94,88,79
75,103,91,94,88,79
74,103,91,94,88,79
75,103,91,94,88,79
76,102,91,94,88,79
77,102,91,94,88,79
75,102,91,94,88,79
78,102,91,94,88,79
77,102,91,94,88,79
78,102,91,94,88,79
74,102,91,94,88,79
75,102,91,94,88,79
75,102,91,94,88,79
79,102,90,94,88,79
75,102,91,94,88,79
77,102,91,94,88,79
75,102,91,94,88,79
77,102,90,94,88,79
75,102,90,94,88,79
76,102,90,94,88,79
75,103,90,94,88,79
78,103,91,94,88,79
75,103,91,94,88,79
74,103,91,94,88,79
78,103,91,94,88,79
75,103,91,94,88,79
76,102,91,94,88,79
77,103,91,94,88,79
77,102,91,94,88,79
74,102,91,94,88,79
77,102,91,94,88,79
77,102,91,94,88,79
74,102,91,94,88,79
78,102,91,94,88,79
77,102,91,94,88,79
74,102,91,94,88,79
74,102,91,94,88,79
78,102,91,94,88,79
77,102,91,94,88,79
77,102,91,94,88,79
75,102,91,94,88,79
78,102,91,94,88,79
75,102,91,94,88,79
78,103,91,94,88,79
75,103,91,94,88,79
80,103,91,94,88,79
