channel 0,channel 1,channel 2,channel 3,channel 5,channel 6
83,113,87,103,96,80
83,113,87,103,96,80
83,113,87,103,96,80
83,113,87,103,96,80
83,113,87,103,96,80
83,113,87,103,96,80
83,113,87,103,96,80
83,113,87,103,96,80
83,113,87,103,96,80
83,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,87,103,96,80
82,112,86,103,96,80
83,112,86,103,96,80
83,112,86,103,96,80
83,112,86,103,96,80
83,112,86,103,96,80
83,112,87,103,96,80
83,112,86,103,96,80
83,112,86,103,96,80
83,112,86,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,112,87,103,96,80
83,111,87,103,96,80
84,111,88,103,96,80
84,111,88,103,96,80
84,111,88,103,96,80
84,111,88,103,96,80
84,111,89,103,96,80
84,111,89,103,96,80
84,111,89,103,96,80
84,111,89,103,96,80
84,110,89,103,96,80
84,110,89,103,96,80
84,110,89,103,96,80
84,110,89,103,96,80
84,110,89,103,96,80
84,110,89,103,96,80
84,110,89,103,96,80
84,110,89,103,96,80
84,110,89,103,96,80
84,110,89,103,96,80
84,109,89,103,96,80
84,109,89,103,96,80
84,109,89,103,96,80
83,109,89,103,96,80
83,109,89,103,96,80
83,109,90,103,96,80
83,109,90,103,96,80
83,110,89,103,96,80
83,110,89,103,96,80
83,109,90,103,96,80
83,109,90,103,96,80
84,109,90,103,96,80
83,109,90,103,96,80
83,109,90,103,96,80
83,109,89,103,96,80
83,109,90,103,96,80
83,109,89,103,96,80
83,109,89,103,96,80
83,108,89,103,96,80
83,108,89,103,96,80
83,108,89,103,96,81
83,108,89,103,96,80
83,108,89,103,96,81
83,108,89,103,96,81
83,108,89,103,96,81
83,108,89,103,96,81
83,108,89,103,96,81
83,108,89,103,96,81
83,109,89,103,96,81
83,109,88,103,96,81
83,109,88,103,96,81
83,109,87,103,96,81
82,109,87,103,96,81
82,110,86,103,96,81
82,110,86,103,96,81
82,110,86,103,96,82
82,110,86,103,96,82
82,110,85,103,96,82
82,110,85,103,95,82
82,110,85,103,95,82
82,110,85,103,95,82
82,110,85,103,95,82
82,110,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,102,95,82
82,109,85,102,95,82
82,109,85,102,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,84,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,84,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,84,103,95,82
82,109,84,103,95,82
82,109,84,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,84,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,95,82
82,109,85,103,94,82
82,109,85,103,94,82
82,109,85,103,94,82
82,109,85,103,94,82
82,109,85,103,94,82
82,109,85,103,94,82
82,109,85,103,94,82
82,108,85,103,94,82
82,108,85,103,94,83
82,108,84,102,94,82
82,108,84,102,94,83
82,108,84,102,94,82
