channel 0,channel 1,channel 2,channel 3,channel 5,channel 6
101,107,91,95,89,79
96,107,91,95,89,79
93,107,91,95,89,79
99,107,91,95,89,79
98,107,91,95,89,79
97,107,91,95,89,79
101,108,91,95,89,79
108,108,91,95,89,79
103,108,91,95,89,79
91,108,91,95,89,79
95,108,91,95,89,79
102,108,91,95,89,79
106,108,91,95,89,79
95,108,91,95,89,79
99,107,91,95,89,79
105,107,91,95,89,79
97,107,91,95,89,79
100,107,91,95,89,79
93,107,91,95,89,79
104,107,91,95,89,79
96,107,91,95,89,79
96,107,91,95,89,79
97,107,91,95,89,79
91,107,91,95,89,79
95,107,91,95,89,79
99,107,91,95,89,79
98,107,91,95,89,79
99,107,91,95,89,79
100,107,91,95,89,79
102,107,91,95,89,79
104,107,91,95,89,79
102,107,91,95,89,79
93,107,91,95,89,79
93,107,91,95,89,79
101,107,91,95,89,79
97,107,91,95,89,79
102,107,91,95,89,79
100,107,91,95,89,79
98,107,91,95,89,79
104,107,91,95,89,79
94,107,91,95,89,79
94,107,91,95,89,79
96,107,91,95,89,79
104,108,91,95,89,79
97,108,91,95,90,79
98,108,91,95,89,79
96,108,91,95,89,79
105,107,91,95,89,79
100,107,91,95,89,79
106,107,91,95,89,79
107,108,91,95,89,79
87,108,91,95,89,79
100,107,91,95,89,79
98,107,91,95,89,79
106,107,91,95,89,79
95,107,91,95,89,79
95,108,91,95,89,79
102,108,91,95,89,79
99,108,91,95,89,79
99,108,91,95,89,79
96,108,91,95,89,79
95,108,91,95,89,79
95,108,91,95,89,79
96,108,91,95,89,79
95,108,91,95,89,79
98,108,91,95,89,79
100,108,91,95,89,79
98,108,91,95,89,79
97,108,91,95,89,79
95,108,91,95,89,79
96,108,91,95,89,79
103,108,91,95,89,79
92,108,91,95,89,79
95,108,91,95,89,79
97,108,91,95,89,79
95,108,91,95,89,79
97,108,91,95,89,79
98,108,91,95,89,79
98,108,91,95,89,79
98,108,91,95,89,79
103,108,91,95,89,79
101,108,91,95,89,79
96,108,91,95,89,79
101,108,91,95,89,79
95,108,91,95,89,79
96,108,91,95,89,79
99,108,91,95,89,79
96,108,91,95,89,79
98,108,91,95,89,79
88,108,91,95,89,79
94,108,91,95,89,79
93,108,91,95,89,79
103,108,91,95,89,79
110,108,91,95,89,79
110,108,91,95,89,79
97,108,91,95,89,79
98,108,91,95,89,79
98,108,91,95,89,79
94,108,91,95,89,79
97,108,91,95,89,79
95,108,91,95,89,79
95,108,91,95,89,79
96,108,91,95,89,79
96,108,91,95,89,79
96,108,91,95,89,79
98,108,91,95,89,79
99,108,91,95,89,79
94,108,91,95,89,79
93,108,91,95,89,79
91,108,91,95,89,79
95,108,91,95,89,79
104,108,91,95,89,79
98,108,91,95,89,79
103,108,91,95,89,79
99,108,91,95,89,79
94,108,91,95,89,79
99,108,91,95,89,79
103,108,91,95,89,79
103,108,91,95,89,79
97,108,91,95,89,79
100,108,91,95,89,79
101,108,91,95,89,79
97,108,91,95,89,79
101,108,92,95,89,79
97,108,91,95,89,79
92,108,91,95,89,79
94,108,91,95,89,79
98,108,91,95,89,79
96,108,91,95,89,79
101,108,91,95,89,79
97,108,91,95,89,79
101,108,91,95,89,79
96,108,91,95,89,79
98,108,91,95,89,79
88,108,91,95,89,79
95,108,91,95,89,79
101,108,91,95,89,79
98,108,91,95,89,79
92,108,91,95,89,79
99,108,91,95,89,79
95,108,91,95,89,79
95,108,91,95,89,79
96,108,91,95,89,79
98,108,91,95,89,79
101,108,91,95,89,79
99,108,91,95,89,79
99,108,91,95,89,79
97,108,91,95,89,79
97,108,91,95,89,79
96,108,91,95,89,79
97,108,91,95,89,79
99,108,91,95,89,79
94,108,91,95,89,79
104,108,91,95,89,80
92,108,91,95,89,80
92,108,91,95,89,80
97,108,91,95,89,80
100,108,91,95,89,80
98,108,91,95,89,80
94,108,91,95,89,79
96,108,91,95,89,79
110,108,91,95,90,79
114,108,91,95,89,80
100,107,91,95,89,80
113,107,91,95,89,80
109,107,91,95,89,80
102,108,91,95,89,80
107,108,91,95,89,80
101,108,91,95,89,80
106,108,91,95,89,80
107,108,91,95,89,80
115,108,91,95,89,80
108,108,91,95,89,80
107,108,91,95,89,80
101,108,91,95,89,80
109,108,91,95,89,80
107,108,91,95,89,80
106,108,91,95,89,80
109,108,91,95,89,80
108,108,91,95,89,80
111,108,91,95,89,80
117,108,91,95,89,80
111,108,91,95,89,80
105,108,91,95,89,80
104,108,91,95,89,79
106,108,91,95,89,79
111,108,91,95,89,79
106,108,91,95,89,79
108,108,91,95,89,79
103,108,91,95,89,79
110,108,91,95,89,79
115,108,91,95,89,79
110,108,91,95,89,79
109,109,91,95,89,79
108,109,91,95,89,79
110,109,91,95,89,79
106,109,91,95,89,79
108,109,91,95,89,79
105,109,91,95,89,79
112,109,91,95,89,79
102,109,91,95,89,79
107,109,91,95,89,79
109,108,91,95,89,79
108,108,91,95,89,79
108,108,91,95,89,79
99,108,91,95,89,79
104,108,91,95,89,79
111,108,91,95,89,79
109,108,91,95,89,79
106,108,91,95,89,79
112,108,91,95,89,79
111,108,91,95,89,79
111,108,91,95,90,79
102,108,91,95,89,79
110,108,91,95,89,79
106,108,91,95,89,79
110,109,92,95,89,79
108,109,91,95,89,79
114,108,92,95,89,79
113,108,92,95,89,79
108,108,92,95,89,79
106,109,92,95,89,79
110,109,92,95,89,79
100,109,91,95,89,79
112,109,91,95,89,79
110,109,91,95,90,80
106,108,91,95,90,80
103,108,91,95,90,80
102,108,91,95,90,80
110,108,91,95,90,80
103,108,91,95,90,80
107,108,91,95,90,80
105,108,91,95,90,80
108,108,91,95,90,79
102,108,91,95,90,80
103,108,92,95,90,80
101,108,91,95,90,80
103,108,91,95,90,80
96,108,92,95,90,79
95,108,92,95,90,80
96,108,92,95,90,80
94,108,92,95,90,79
103,108,91,95,90,80
111,108,91,95,90,79
106,108,92,95,90,79
101,108,92,95,90,79
90,108,91,95,90,79
97,108,91,95,90,79
93,108,91,95,90,79
97,108,91,95,90,79
99,108,91,95,90,79
100,108,91,95,90,79
97,108,92,95,90,79
93,108,91,95,90,79
97,108,91,95,90,79
99,108,92,95,90,79
96,108,91,95,90,79
103,108,91,95,90,79
98,108,91,95,90,79
104,108,91,95,90,79
97,108,91,95,90,79
101,108,92,95,90,79
98,108,92,95,90,79
103,108,91,95,90,79
92,108,91,95,90,79
100,108,91,95,90,79
99,108,91,95,90,79
91,108,91,95,90,79
95,109,91,95,90,79
96,109,91,95,90,79
104,109,91,95,90,79
98,109,91,95,90,79
97,108,91,95,90,79
96,108,91,95,90,79
94,108,91,95,90,79
102,108,91,95,90,79
98,108,91,95,90,79
107,108,91,95,90,79
103,108,91,95,90,79
103,108,91,95,90,79
110,108,91,95,90,80
100,108,91,95,90,79
102,108,91,95,90,79
106,108,91,95,90,79
112,108,91,95,90,79
107,108,91,95,90,79
101,108,91,95,90,79
106,108,91,95,90,79
102,108,92,95,90,80
104,108,92,95,90,80
104,108,92,95,90,80
106,108,91,95,90,80
106,108,91,95,90,80
100,108,91,95,90,80
113,108,91,95,90,80
114,108,91,95,90,80
102,108,91,95,90,80
109,108,91,95,90,80
113,108,91,95,90,80
107,108,91,95,90,80
103,108,91,95,90,80
107,108,91,95,90,80
97,108,91,95,90,80
92,108,91,95,90,80
98,108,91,95,90,80
89,108,91,95,90,80
94,108,91,95,90,80
102,108,91,95,90,80
101,108,91,95,90,80
101,107,91,95,90,80
99,107,91,95,90,80
100,107,91,95,90,80
100,107,91,95,90,80
95,107,91,95,90,80
94,107,91,95,90,80
91,107,91,95,90,80
88,107,91,95,90,80
90,107,91,95,90,80
91,108,91,95,90,80
88,108,91,95,90,80
90,108,91,95,90,80
90,108,91,95,90,80
92,107,91,95,90,80
103,107,91,95,90,80
101,107,91,95,90,80
103,108,91,95,90,80
92,108,91,95,90,80
94,108,91,95,90,80
101,107,91,95,90,80
101,107,91,95,90,80
98,108,91,95,90,80
101,108,91,95,90,80
